work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_range
2023,MI,CT,ML Engineer,US,100,US,S,2
2023,SE,FT,Data Scientist,CA,100,CA,M,16
2023,SE,FT,Applied Scientist,US,0,US,L,20
2023,SE,FT,Applied Scientist,US,0,US,L,12
2023,SE,FT,Data Scientist,CA,0,CA,M,13
2023,SE,FT,Data Scientist,US,0,US,M,8
2023,SE,FT,Data Analyst,US,100,US,M,12
2023,EN,FT,Applied Scientist,US,0,US,L,20
2023,SE,FT,Data Modeler,US,0,US,M,13
2023,SE,FT,Data Modeler,US,0,US,M,8
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,SE,FT,Data Scientist,US,0,US,M,14
2023,MI,FT,Data Analyst,US,100,US,M,14
2023,MI,FT,Data Analyst,US,100,US,M,10
2023,SE,FT,Research Engineer,DE,0,DE,M,25
2023,SE,FT,Research Engineer,DE,0,DE,M,16
2023,SE,FT,Business Intelligence Engineer,US,0,US,M,21
2023,SE,FT,Business Intelligence Engineer,US,0,US,M,14
2023,SE,FT,Machine Learning Engineer,US,0,US,M,18
2023,SE,FT,Machine Learning Engineer,US,0,US,M,12
2023,SE,FT,Data Strategist,CA,0,CA,M,8
2023,SE,FT,Data Strategist,CA,0,CA,M,6
2023,SE,FT,Data Engineer,US,0,US,M,23
2023,SE,FT,Data Engineer,US,0,US,M,8
2023,SE,FT,Computer Vision Engineer,US,0,US,M,17
2023,MI,FT,Data Engineer,US,0,US,M,15
2023,MI,FT,Data Engineer,US,0,US,M,12
2023,MI,FT,Data Analyst,US,0,US,M,9
2023,MI,FT,Data Analyst,US,0,US,M,6
2023,EN,FT,Data Quality Analyst,NG,100,NG,L,9
2023,EN,FT,Applied Scientist,US,0,US,L,19
2023,EN,FT,Applied Scientist,US,0,US,L,10
2023,SE,FT,Data Engineer,US,0,US,M,25
2023,SE,FT,Data Engineer,US,0,US,M,20
2023,SE,FT,Data Scientist,US,100,US,M,19
2023,SE,FT,Data Scientist,US,100,US,M,17
2023,SE,FT,Data Scientist,US,100,US,M,24
2023,SE,FT,Data Scientist,US,100,US,M,23
2023,SE,FT,Data Scientist,US,100,US,M,25
2023,SE,FT,Data Scientist,US,100,US,M,20
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,SE,FT,Data Engineer,US,100,US,M,19
2023,SE,FT,Data Engineer,US,100,US,M,11
2023,SE,FT,Research Engineer,US,0,US,M,17
2023,EX,FT,Data Scientist,US,0,US,M,17
2023,SE,FT,Data Engineer,US,100,US,M,15
2023,SE,FT,Data Scientist,US,100,US,M,10
2023,SE,FT,Data Engineer,US,0,US,M,22
2023,SE,FT,Data Engineer,US,0,US,M,16
2023,SE,FT,Data Engineer,US,100,US,M,22
2023,SE,FT,Applied Scientist,US,0,US,L,29
2023,SE,FT,Applied Scientist,US,0,US,L,14
2023,SE,FT,Data Engineer,US,0,US,M,10
2023,SE,FT,Data Engineer,US,0,US,M,7
2023,SE,FT,Data Scientist,US,100,US,M,22
2023,SE,FT,Data Scientist,US,100,US,M,18
2023,SE,FT,Computer Vision Engineer,US,0,US,M,26
2023,SE,FT,Computer Vision Engineer,US,0,US,M,19
2023,SE,FT,Data Architect,US,100,US,M,26
2023,SE,FT,Data Architect,US,100,US,M,15
2023,SE,FT,Data Engineer,US,100,US,M,18
2023,SE,FT,Data Engineer,US,100,US,M,13
2023,SE,FT,Machine Learning Engineer,PT,100,US,M,14
2022,EN,FT,AI Developer,IN,50,IN,L,28
2023,SE,FT,Business Intelligence Engineer,US,0,US,M,12
2023,SE,FT,Data Engineer,US,0,US,M,17
2023,SE,FT,Data Engineer,US,0,US,M,13
2023,SE,FT,Data Scientist,ES,0,ES,M,4
