work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_range
2023,SE,FT,Data Engineer,US,100,US,M,15
2023,SE,FT,Data Scientist,US,100,US,M,14
2023,SE,FT,Data Engineer,US,100,US,M,14
2023,EX,FT,Data Engineer,US,0,US,M,19
2023,SE,FT,Research Scientist,US,0,US,M,11
2022,SE,FT,Analytics Engineer,US,100,US,M,12
2023,SE,FT,Machine Learning Engineer,US,0,US,M,14
2023,EX,FT,Director of Data Science,US,0,US,M,33
2023,SE,FT,Analytics Engineer,GB,100,GB,M,21
2022,SE,FT,Applied Scientist,US,100,US,M,17
2023,SE,FT,Data Engineer,US,0,US,M,12
2023,SE,FT,Analytics Engineer,US,100,US,M,14
2023,SE,FT,Deep Learning Researcher,DE,0,DE,L,11
2023,MI,FT,ML Engineer,US,0,US,M,15
2022,SE,FT,Analytics Engineer,US,0,US,M,14
2022,SE,FT,Data Engineer,ES,0,ES,M,4
2021,SE,FT,Data Scientist,US,100,US,L,15
2023,EN,FT,Data Analyst,US,100,US,M,7
2022,MI,FT,Data Engineer,GB,0,GB,M,5
2022,SE,FT,Data Scientist,US,0,US,M,11
2022,SE,FT,Data Engineer,US,100,US,M,12
2023,SE,FT,Data Scientist,US,100,US,M,12
2022,MI,FT,AI Scientist,IN,100,US,L,18
2022,MI,FT,Data Scientist,US,0,US,M,21
2023,EX,FT,Data Engineer,US,0,US,M,16
2023,SE,FT,Data Analyst,US,0,US,M,10
2022,SE,FT,Machine Learning Engineer,US,0,US,M,15
2023,SE,FT,Data Scientist,US,100,US,M,17
2023,SE,FT,Data Architect,US,100,US,M,18
2022,SE,FT,Data Engineer,US,100,US,M,10
2022,SE,FT,Data Scientist,US,0,US,M,13
2022,SE,FT,Analytics Engineer,US,100,US,M,21
2023,SE,FT,Data Analyst,US,100,US,M,15
2023,EX,FT,Head of Data,US,0,US,M,30
2023,SE,FT,Data Scientist,US,0,US,M,15
2023,MI,FT,Data Analyst,US,0,US,M,13
2022,SE,FT,Data Engineer,GB,100,GB,M,3
2021,SE,FT,Machine Learning Scientist,US,50,US,S,11
2022,SE,FT,Data Engineer,US,100,US,M,11
2022,SE,FT,Data Scientist,US,0,US,M,12
2023,SE,FT,Data Engineer,US,0,US,M,13
2021,SE,FT,Computer Vision Engineer,BR,100,BR,M,2
2023,SE,FT,Data Engineer,US,100,US,M,18
